财年,季度,季末,总营收(百万美元),版税Royalty,授权License,GAAP净利,NonGAAP净利,营收同比
FY2024,Q1,2023-06,675,400,275,105,,-2%
FY2024,Q2,2023-09,806,418,388,-110,380,+28%
FY2024,Q3,2023-12,824,470,354,87,305,+14%
FY2024,Q4,2024-03,928,514,414,224,376,+47%
FY2024,全年,2024-03,3233,1802,1431,306,,+21%
FY2025,Q1,2024-06,939,467,472,223,419,+39%
FY2025,Q2,2024-09,844,514,330,107,317,+5%
FY2025,Q3,2024-12,983,580,403,252,417,+19%
FY2025,Q4,2025-03,1241,607,634,210,584,+34%
FY2025,全年,2025-03,4007,2168,1839,792,1737,+24%
FY2026,Q1,2025-06,1053,585,468,130,374,+12%
FY2026,Q2,2025-09,1135,620,515,238,417,+34%
FY2026,Q3,2025-12,1242,737,505,223,457,+26%
FY2026,Q4,2026-03,1490,671,819,313,641,+20%
FY2026,全年,2026-03,4920,2613,2307,904,1889,+23%
